sample_name,label
Elbow Strenghtning,0
Hand Behind Back Strecth,1
Shoulder-Lateral-Rotation-in-Side-Lying_1,3
Lawnmower,1
Assisted External Rotation in Neutral,3
Dips,1
Assisted Rotation at 90 degree,3
Shoulder-Lateral-Rotation-in-Side-Lying,3
Shoulder Drop ,1
Scapula Wall Slides,1
Shoulder-Medial-Rotation-with-Theraband_1,3
Standing scapular retraction - Straight elbows,0
Elbow Plank on Wall with Single Leg Extension,0
Shoulder Flexion with Opposite Arm Isometric Hold,2
Scapular setting,1
Assisted Rotation at 45 degree,3
Push-Up Plus on Table,1
Plank on Elbows and Half Knee,0
Standing scapular retraction - Bent elbows,0
Side Lying External Rotation,3
wall slides,1
Break Trunk Rotation,3
Shoulder-Medial-Rotation-with-Theraband,3
Assisted Flexion in Lying,2
Shoulder-Flexion-with-Isometric-Posterio_1,2
Supine Serratus Punch,1
Shoulder-Lateral-Rotation,3
